model_type,n_layers,units,dropout,recurrent_dropout,activation,kernel_regularizer,bidirectional,optimizer,lr,batch_size,epochs,window_size,patience,fold,rmse,mae
rnn,1,16,0.2,0.2,tanh,0.0001,True,adam,0.001,16,100,12,10,5,8.55688353335218,5.520917962070306
gru,1,32,0.3,0.2,tanh,0.001,True,adam,0.0001,16,100,8,10,1,11.428442190530008,11.391899522047774
gru,1,32,0.3,0.2,tanh,0.001,True,adam,0.0001,16,100,8,10,2,12.52287250856112,11.866508713707557
gru,1,32,0.3,0.2,tanh,0.001,True,adam,0.0001,16,100,8,10,3,12.278971917762002,10.09498591108322
gru,1,32,0.3,0.2,tanh,0.001,True,adam,0.0001,16,100,8,10,4,7.0623173510035056,6.34993345988347
gru,1,32,0.3,0.2,tanh,0.001,True,adam,0.0001,16,100,8,10,5,8.907465005727985,6.149735803024585
lstm,2,64,0.2,0.1,relu,0.001,True,adam,0.001,16,200,4,5,1,0.4644275014126426,0.3914933544261116
lstm,2,64,0.2,0.1,relu,0.001,True,adam,0.001,16,200,4,5,2,0.878758991654067,0.7164156492018271
lstm,2,64,0.2,0.1,relu,0.001,True,adam,0.001,16,200,4,5,3,0.9891285739745738,0.8507231564877287
lstm,2,64,0.2,0.1,relu,0.001,True,adam,0.001,16,200,4,5,4,0.297919280891471,0.2514891835757659
lstm,2,64,0.2,0.1,relu,0.001,True,adam,0.001,16,200,4,5,5,8.341820204928286,4.059483552844609
gru,1,128,0.2,0.1,tanh,0.0,True,rmsprop,0.0001,16,200,12,10,1,2.7240885689864824,2.54969496739904
gru,1,128,0.2,0.1,tanh,0.0,True,rmsprop,0.0001,16,200,12,10,2,3.3943079092686737,2.612724680486322
gru,1,128,0.2,0.1,tanh,0.0,True,rmsprop,0.0001,16,200,12,10,3,3.231247525369775,2.7569084487207243
gru,1,128,0.2,0.1,tanh,0.0,True,rmsprop,0.0001,16,200,12,10,4,2.4417590091014936,2.40558822944959
gru,1,128,0.2,0.1,tanh,0.0,True,rmsprop,0.0001,16,200,12,10,5,8.825162998973157,5.654752278073628
gru,1,64,0.1,0.1,relu,0.0001,False,rmsprop,0.0001,64,200,8,5,1,12.010976707473612,11.987402742239142
gru,1,64,0.1,0.1,relu,0.0001,False,rmsprop,0.0001,64,200,8,5,2,13.192731325312264,13.02047378340501
gru,1,64,0.1,0.1,relu,0.0001,False,rmsprop,0.0001,64,200,8,5,3,4.716513051143823,4.653124529002263
gru,1,64,0.1,0.1,relu,0.0001,False,rmsprop,0.0001,64,200,8,5,4,13.5617173591847,13.555728051053562
gru,1,64,0.1,0.1,relu,0.0001,False,rmsprop,0.0001,64,200,8,5,5,8.40780972146022,6.428915357017516
rnn,1,128,0.1,0.2,relu,0.0,True,adam,0.001,16,100,12,5,1,2.5677581649621,2.0401080228308834
rnn,1,128,0.1,0.2,relu,0.0,True,adam,0.001,16,100,12,5,2,6.9100519783185135,5.184242312407494
rnn,1,128,0.1,0.2,relu,0.0,True,adam,0.001,16,100,12,5,3,2.362173640042987,2.0555179322153334
rnn,1,128,0.1,0.2,relu,0.0,True,adam,0.001,16,100,12,5,4,3.345707472530786,3.0209435422738395
rnn,1,128,0.1,0.2,relu,0.0,True,adam,0.001,16,100,12,5,5,8.632921356254068,5.866794768714904
lstm,2,64,0.0,0.0,tanh,0.001,True,adam,0.001,32,50,12,5,1,3.6263203110967006,3.29504146452248
lstm,2,64,0.0,0.0,tanh,0.001,True,adam,0.001,32,50,12,5,2,2.66484550179982,2.3626476861715315
lstm,2,64,0.0,0.0,tanh,0.001,True,adam,0.001,32,50,12,5,3,2.2008172103443973,1.7920610787679754
lstm,2,64,0.0,0.0,tanh,0.001,True,adam,0.001,32,50,12,5,4,2.99261185923664,2.7402804990132648
lstm,2,64,0.0,0.0,tanh,0.001,True,adam,0.001,32,50,12,5,5,9.011071113815856,5.994836915278434
